word,wordtype,meaning
ಅಂತಃಸ್ಥ,ಪರಿಚೆಪದ,"(ಸಂ) ಒಳಗಿನ, ನಡುವಣ"
ಅಂತಕ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಯಮ, ಮೃತ್ಯುದೇವತೆ ೨ ಸಾವು, ಮೃತ್ಯು"
ಅಂತರ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ವ್ಯತ್ಯಾಸ, ಭೇದ ೨ ನಡುವಣ ಭಾಗ ೩ ಸಮೀಪ ೪ ದೂರ ೫ ಮೆಟ್ಟಿಲು ಮೆಟ್ಟಿಲಾಗುವ ಸ್ಥಿತಿ ೬ ಬಿಡುವು ೭ ಕಾಲಾವಕಾಶ ೮ ಮನಸ್ಸು ೯ ಆತ್ಮ; ಪಿಶಾಚಿ (ಸಂ) ೧ ಸದ್ಗತಿ ಕಾಣದ ಜೀವ ೨ ನೆಲೆಯಿಲ್ಲದೆ ತೊಳಲಾಡುವ ವ್ಯಕ್ತಿ"
ಅಂತರಂಗ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಒಳಭಾಗ ೨ ಮನಸ್ಸು, ಹೃದಯ ೩ ಒಳಗಿನ ಅಭಿಪ್ರಾಯ"
ಅಂತರಾತ್ಮ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಜೀವಾತ್ಮ ೨ ಪರಮಾತ್ಮ
ಅಂತರಾಯ,ಹೆಸರುಪದ,"(ಸಂ) ಅಡೆತಡೆ, ವಿಘ್ನ"
ಅಂತರಾಳ,ಹೆಸರುಪದ,(ಸಂ) ೧ ನಡುವಿನ ಜಾಗ ೨ ಅಂತ ರಂಗದ ಭಾವ ೩ ಆಕಾಶ
ಅಂತರಿಕ್ಷ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಆಕಾಶ, ನಭ, ಬಾನು ೨ ಭೂಮಿಗೂ, ಆಕಾಶಕ್ಕೂ ನಡುವಣ ಪ್ರದೇಶ"
ಅಂತರೀಪ,ಹೆಸರುಪದ,(ಸಂ) ದ್ವೀಪ
ಅಂತರೀಯ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಒಳ ಉಡುಪು ೨ ನಡು ವಿನಿಂದ ಕೆಳಕ್ಕೆ ಉಡುವ ವಸ್ತ್ರ
ಅಂತರ್,ಅವ್ಯಯ,(ಸಂ) ಒಳಗಿನ
ಅಂತರ್ಗತ,ಹೆಸರುಪದ,(ಸಂ) ಒಳ ಮನಸ್ಸು
ಅಂತರ್ಗತ,ಪರಿಚೆಪದ,(ಸಂ) ಒಳಸೇರಿದ
ಅಂತರ್ಧಾನ,ಹೆಸರುಪದ,(ಸಂ) ಅದೃಶ್ಯವಾಗುವುದು
ಅಂತರ್ಯಾಮಿ,ಹೆಸರುಪದ,"(ಸಂ) ಅಂತರಂಗವನ್ನು ನಿಯಮಿಸತಕ್ಕವನು, ಪರಮಾತ್ಮ"
ಅಂತರ್ವತ್ನಿ,ಹೆಸರುಪದ,"(ಸಂ) ಬಸಿರಿ, ಗರ್ಭಿಣಿ, ಬಿಮ್ಮನಸಿ"
ಅಂತರ್ವಾಣಿ,ಹೆಸರುಪದ,(ಸಂ) ಮನಸ್ಸಾಕ್ಷಿ
ಅಂತಶ್ಚಕ್ಷು,ಹೆಸರುಪದ,(ಸಂ) ಒಳಗಣ್ಣು
ಅಂತಸ್ತು,ಹೆಸರುಪದ,"(<ಸಂ. ಅಂತಸ್ಥ) ೧ ಮಹಡಿ ೨ ಹಂತ, ಮಟ್ಟ ೩ ಒಂದರ ಮೇಲೊಂದರಂತೆ ಅಳವಟ್ಟಿರುವ ಶ್ರೇಣಿ"
ಅಂತಾರಾಷ್ಟ್ರೀಯ,ಪರಿಚೆಪದ,(ಸಂ) ಬೇರೆ ಬೇರೆ ರಾಷ್ಟ್ರಗಳಿಗೆ ಪರಸ್ಪರವಾಗಿ ಸಂಬಂಧಿಸಿದ
ಅಂತಿತ,ಹೆಸರುಪದ,(ಸಂ) ಹತ್ತಿರ
ಅಂತಿಮ,ಪರಿಚೆಪದ,"(ಸಂ) ಕಡೆಯ, ಕೊನೆಯ"
ಅಂತು,ಹೆಸರುಪದ,"(ದೇ) ೧ ಕೊನೆ, ತುದಿ ೨ ಒಳಗುಟ್ಟು, ಮರ್ಮ"
