word,wordtype,origin,meaning_number,meaning
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,1,ನಾಲ್ಕುಯುಗಗಳಲ್ಲಿ ಮೊದಲನೆ ಯದು
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,2,ಪುಣ್ಯವಂತ
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,3,ಯಮ
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,4,ಉಪಕಾರ
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,5,ಸಾಕಾಗುವಷ್ಟು
ಕೃತ,ಹೆಸರುಪದ,ಸಂ ,6,ಶನಿ
ಕೃತಕ,ಹೆಸರುಪದ,ಸಂ ,1,ಕಪಟ
ಕೃತಕ,ಹೆಸರುಪದ,ಸಂ ,2,"ನಿರ್ಮಾಣ, ರಚನೆ"
ಕೃತಕ,ಹೆಸರುಪದ,ಸಂ ,3,ಮೋಸಗಾರ
ಕೃತಕ,ಪರಿಚೆಪದ,ಸಂ ,1,"ಸ್ವಾಭಾವಿಕವಲ್ಲದ, ಅಸಹಜವಾದ"
ಕೃತಕ,ಪರಿಚೆಪದ,ಸಂ ,2,"ಮಾಡಿದ, ನಿರ್ಮಿಸಿದ"
ಕೃತಕ,ಪರಿಚೆಪದ,ಸಂ ,3,ಕಪಟದ
ಕೃತಕರ್ಮ,ಹೆಸರುಪದ,ಸಂ ,1,ಮಾಡಬೇಕಾದ ಕೆಲಸವನ್ನು ಮಾಡಿದವನು
ಕೃತಕರ್ಮ,ಹೆಸರುಪದ,ಸಂ ,2,ಕಾರ್ಯಚತುರ
ಕೃತಾಂಜಲಿ,ಹೆಸರುಪದ,ಸಂ ,1,ಮುಗಿದ ಕೈ
ಕೃತಾಂಜಲಿ,ಹೆಸರುಪದ,ಸಂ ,2,ಕೈಮುಗಿದ ವ್ಯಕ್ತಿ
ಕೃತಾಂಜಲಿ,ಹೆಸರುಪದ,ಸಂ ,3,"ಮುಟ್ಟಿದಂತೆ ಎಲೆಗಳು ಮುರುಟುವ ಗಿಡ, ಮುಟ್ಟಿ ದರೆ ಮುನಿ"
ಕೃತಾಂತ,ಪರಿಚೆಪದ,ಸಂ ,1,ಯಮ
ಕೃತಾಂತ,ಪರಿಚೆಪದ,ಸಂ ,2,ಸಿದ್ಧಾಂತ ನಿರ್ಣಯ
ಕೃತಾಂತ,ಪರಿಚೆಪದ,ಸಂ ,3,ಕರ್ಮಫಲ
ಕೃತಾಂತ,ಪರಿಚೆಪದ,ಸಂ ,4,ಪಾಪಕರ್ಮ
ಕೃತಾಂತ,ಪರಿಚೆಪದ,ಸಂ ,5,ಇಪ್ಪತ್ತೇಳು ನಕ್ಷತ್ರ
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,1,ಕೆಲಸ
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,2,ಕಾವ್ಯ ಗ್ರಂಥ
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,3,"ಲಲಿತ ಕಲೆಗೆ ಸಂಬಂಧಿಸಿದ ರಚನೆ, ಕಲಾಕೃತಿ"
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,4,ನೆರವೇರಿಸಿದ ಕಾರ್ಯ
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,5,ವಿದ್ವಾಂಸ
ಕೃತಿ,ಹೆಸರುಪದ,ಸಂ ,6,ಪುಣ್ಯವಂತ
ಕೃತ್ತಿ,ಹೆಸರುಪದ,ಸಂ ,1,"ಚರ್ಮ, ತೊಗಲು"
ಕೃತ್ತಿ,ಹೆಸರುಪದ,ಸಂ ,2,"ಒಂದು ಜಾತಿಯ ಮರ, ಭೂರ್ಜವೃಕ್ಷ"
ಕೃತ್ಯ,ಹೆಸರುಪದ,ಸಂ ,1,ಕೆಲಸ
ಕೃತ್ಯ,ಹೆಸರುಪದ,ಸಂ ,2,ನಿಷ್ಠೆ
ಕೃತ್ಯ,ಹೆಸರುಪದ,ಸಂ ,3,ವಿಶ್ವಾಸಘಾತಕ
ಕೃತ್ಯ,ಹೆಸರುಪದ,ಸಂ ,4,"ಅನ್ಯರಿಗೆ ಕೇಡನ್ನೆಣಿಸಿ ಮಾಡುವ ದುಷ್ಟದೇವತೆಯ ಉಪಾಸನೆ, ಮಾಟ"
ಕೃತ್ರಿಮ,ಹೆಸರುಪದ,ಸಂ ,1,ಕಪಟ
ಕೃತ್ರಿಮ,ಹೆಸರುಪದ,ಸಂ ,2,ಕಪಟಿ
ಕೃತ್ರಿಮ,ಹೆಸರುಪದ,ಸಂ ,3,"ಮಾಟ, ಶೂನ್ಯ"
ಕೃತ್ರಿಮ,ಹೆಸರುಪದ,ಸಂ ,4,ಕಾಚುಲವಣ
ಕೃಪಣ,ಹೆಸರುಪದ,ಸಂ ,1,ದೈನ್ಯದಿಂದ ಕೂಡಿದುದು
ಕೃಪಣ,ಹೆಸರುಪದ,ಸಂ ,2,ದುಷ್ಟ
ಕೃಪಣ,ಹೆಸರುಪದ,ಸಂ ,3,ಜಿಪುಣ
ಕೃಪಣ,ಪರಿಚೆಪದ,ಸಂ ,1,ತುಚ್ಛವಾದ
ಕೃಪಣ,ಪರಿಚೆಪದ,ಸಂ ,2,ವಿವೇಕ ಶೂನ್ಯವಾದ
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,1,ಹೊಟ್ಟೆ
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,2,ಬಸಿರು
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,3,ನೀರು
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,4,ಸೌದೆ
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,5,ಕಾಡು
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,6,ಕಂಚು
ಕೃಪೀಟ,ಹೆಸರುಪದ,ಸಂ ,7,ಬರಗಾಲ
ಕೃಶ,ಪರಿಚೆಪದ,ಸಂ ,1,ತೆಳುವಾದ
ಕೃಶ,ಪರಿಚೆಪದ,ಸಂ ,2,ಅಲ್ಪವಾದ
ಕೃಶಾನು,ಹೆಸರುಪದ,ಸಂ ,1,"ಅಗ್ನಿ, ಬೆಂಕಿ"
