word,wordtype,origin,meaning_number,meaning
ಅಚ್ಚು,noun,ದೇ ,1,"ಮರದಲ್ಲಿ ಯಾ ಲೋಹದಲ್ಲಿ ಬೇಕಾದ ಆಕಾರವನ್ನು ಕೊರೆದು ಅದರಲ್ಲಿ ಎರಕ ಹೊಯ್ದು ಬಿಂಬವನ್ನು ಮಾಡಿಕೊಳ್ಳುವ ಸಾಧನ, ಪಡಿಯಚ್ಚು"
ಅಚ್ಚುಕಟ್ಟು,noun,ದೇ ,1,"ಕೆರೆ, ಕಾಲುವೆಗಳ ಆಸರೆಯಲ್ಲಿರುವ ಭೂಮಿಯನ್ನು ಬೇಸಾಯಕ್ಕೆ ಅನುಕೂಲವಾಗುವಂತೆ ವಿಂಗಡಿಸಿದ ಜವಿನು"
ಅಚ್ಚೆ,noun,ದೇ ,1,ಒಂದು ಬಗೆಯ ಮೀನು
ಅಚ್ಯುತ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅಜ,noun,ಸಂ ,1,ಪರಮಾತ್ಮ
ಅಜಗರ,noun,ಸಂ ,1,ಹೆಬ್ಬಾವು
ಅಜರ,noun,ಸಂ ,1,"ಮುಪ್ಪಿಲ್ಲದವನು, ದೇವತೆ"
ಅಜಾತ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅಜಾತಶತ್ರು,noun,ಸಂ ,1,ಶತ್ರುವೇ ಇಲ್ಲದವನು
ಅಜಿತ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅಜಿನ,noun,ಸಂ ,1,ಚರ್ಮ
ಅಜಿರ,noun,ಸಂ ,1,ಅಂಗಳ
ಅಜೇಯ,noun,ಸಂ ,1,ಗೆಲ್ಲಲಾಗದುದು
ಅಜ್ಞಾನ,noun,ಸಂ ,1,ಅರಿವಿಲ್ಲದಿರುವಿಕೆ
ಅಟಮಟ,noun,ದೇ ,1,ಸುಳ್ಳು
ಅಟವಿ,noun,<ಸಂ. ಅಟವೀ ,1,"ಕಾಡು, ಅರಣ್ಯ"
ಅಟಾಪ,noun,ದೇ ,1,"ಶಕ್ತಿ, ಸಾಮರ್ಥ್ಯ"
